Sample_ID,Parent_ID,your_site_4digit,replicate
RC2_0187_ICR-1,RC2_0187,NA,1
RC2_0187_ICR-2,RC2_0187,NA,2
RC2_0187_ICR-3,RC2_0187,NA,3
RC2_0188_ICR-1,RC2_0188,NA,1
RC2_0188_ICR-2,RC2_0188,NA,2
RC2_0188_ICR-3,RC2_0188,NA,3
RC2_0189_ICR-1,RC2_0189,NA,1
RC2_0189_ICR-2,RC2_0189,NA,2
RC2_0189_ICR-3,RC2_0189,NA,3
RC2_0190_ICR-1,RC2_0190,NA,1
RC2_0190_ICR-2,RC2_0190,NA,2
RC2_0190_ICR-3,RC2_0190,NA,3
RC2_0191_ICR-1,RC2_0191,NA,1
RC2_0191_ICR-2,RC2_0191,NA,2
RC2_0191_ICR-3,RC2_0191,NA,3
RC2_0192_ICR-1,RC2_0192,NA,1
RC2_0192_ICR-2,RC2_0192,NA,2
RC2_0192_ICR-3,RC2_0192,NA,3
RC2_0193_ICR-1,RC2_0193,NA,1
RC2_0193_ICR-2,RC2_0193,NA,2
RC2_0193_ICR-3,RC2_0193,NA,3
RC2_0194_ICR-1,RC2_0194,NA,1
RC2_0194_ICR-2,RC2_0194,NA,2
RC2_0194_ICR-3,RC2_0194,NA,3
RC2_0195_ICR-1,RC2_0195,NA,1
RC2_0195_ICR-2,RC2_0195,NA,2
RC2_0195_ICR-3,RC2_0195,NA,3
RC2_0196_ICR-1,RC2_0196,NA,1
RC2_0196_ICR-2,RC2_0196,NA,2
RC2_0196_ICR-3,RC2_0196,NA,3
RC2_0197_ICR-1,RC2_0197,NA,1
RC2_0197_ICR-2,RC2_0197,NA,2
RC2_0197_ICR-3,RC2_0197,NA,3
RC2_0198_ICR-1,RC2_0198,NA,1
RC2_0198_ICR-2,RC2_0198,NA,2
RC2_0198_ICR-3,RC2_0198,NA,3
RC2_0199_ICR-1,RC2_0199,NA,1
RC2_0199_ICR-2,RC2_0199,NA,2
RC2_0199_ICR-3,RC2_0199,NA,3
RC2_0200_ICR-1,RC2_0200,NA,1
RC2_0200_ICR-2,RC2_0200,NA,2
RC2_0200_ICR-3,RC2_0200,NA,3
RC2_0201_ICR-1,RC2_0201,NA,1
RC2_0201_ICR-2,RC2_0201,NA,2
RC2_0201_ICR-3,RC2_0201,NA,3
RC2_0202_ICR-1,RC2_0202,NA,1
RC2_0202_ICR-2,RC2_0202,NA,2
RC2_0202_ICR-3,RC2_0202,NA,3
RC2_0203_ICR-1,RC2_0203,NA,1
RC2_0203_ICR-2,RC2_0203,NA,2
RC2_0203_ICR-3,RC2_0203,NA,3
RC2_0204_ICR-1,RC2_0204,NA,1
RC2_0204_ICR-2,RC2_0204,NA,2
RC2_0204_ICR-3,RC2_0204,NA,3
RC2_0205_ICR-1,RC2_0205,NA,1
RC2_0205_ICR-2,RC2_0205,NA,2
RC2_0205_ICR-3,RC2_0205,NA,3
RC2_0206_ICR-1,RC2_0206,NA,1
RC2_0206_ICR-2,RC2_0206,NA,2
RC2_0206_ICR-3,RC2_0206,NA,3
RC2_0207_ICR-1,RC2_0207,NA,1
RC2_0207_ICR-2,RC2_0207,NA,2
RC2_0207_ICR-3,RC2_0207,NA,3
RC2_0208_ICR-1,RC2_0208,NA,1
RC2_0208_ICR-2,RC2_0208,NA,2
RC2_0208_ICR-3,RC2_0208,NA,3
RC2_0209_ICR-1,RC2_0209,NA,1
RC2_0209_ICR-2,RC2_0209,NA,2
RC2_0209_ICR-3,RC2_0209,NA,3
RC2_0210_ICR-1,RC2_0210,NA,1
RC2_0210_ICR-2,RC2_0210,NA,2
RC2_0210_ICR-3,RC2_0210,NA,3
RC2_0211_ICR-1,RC2_0211,NA,1
RC2_0211_ICR-2,RC2_0211,NA,2
RC2_0211_ICR-3,RC2_0211,NA,3
