SampleID,num_peak,n_transformations,normalized_transformations
RC2_0087_ICR-3,4856,28004,5.766886326194399
RC2_0088_ICR-1,4276,27831,6.508652946679139
RC2_0088_ICR-2,4676,28132,6.016253207869974
RC2_0088_ICR-3,4614,31494,6.825747724317295
RC2_0089_ICR-1,4742,30670,6.467735132855335
RC2_0089_ICR-2,4526,28536,6.304904993371631
RC2_0089_ICR-3,4740,30464,6.427004219409283
RC2_0090_ICR-1,4497,31652,7.0384700911718925
RC2_0090_ICR-2,4366,28433,6.512368300503894
RC2_0090_ICR-3,4628,28948,6.254969749351772
RC2_0091_ICR-1,2827,27299,9.656526353024407
RC2_0091_ICR-2,2513,18809,7.484679665738161
RC2_0091_ICR-3,2819,24271,8.609790705924086
RC2_0092_ICR-1,2967,25433,8.571958206943041
RC2_0092_ICR-2,3915,27477,7.0183908045977015
RC2_0092_ICR-3,3277,25226,7.697894415624046
RC2_0093_ICR-1,3867,27177,7.027928626842513
RC2_0093_ICR-2,4085,30258,7.407099143206854
RC2_0093_ICR-3,4738,32106,6.776276910088645
RC2_0094_ICR-1,4354,27275,6.264354616444648
RC2_0094_ICR-2,4046,31080,7.681660899653979
RC2_0094_ICR-3,4340,30066,6.927649769585253
RC2_0095_ICR-1,4108,29247,7.11952288218111
RC2_0095_ICR-2,4465,30501,6.831131019036954
RC2_0095_ICR-3,4211,27332,6.490619805271907
RC2_0096_ICR-1,3641,33619,9.233452348255973
RC2_0096_ICR-2,4549,28184,6.195647395031875
RC2_0096_ICR-3,4219,28812,6.829106423323062
RC2_0097_ICR-1,4247,27282,6.423828584883447
RC2_0097_ICR-2,4095,29345,7.166056166056166
RC2_0097_ICR-3,3893,31701,8.14307731826355
RC2_0098_ICR-1,4349,30573,7.029891929179121
RC2_0098_ICR-2,4407,28937,6.566144769684593
RC2_0098_ICR-3,4292,28458,6.630475302889096
RC2_0099_ICR-1,4541,29891,6.582470821404977
RC2_0099_ICR-2,4234,32470,7.66887104393009
RC2_0099_ICR-3,4379,32301,7.376341630509248
RC2_0100_ICR-1,4789,30541,6.377323031948214
RC2_0100_ICR-2,4161,28424,6.831050228310502
RC2_0100_ICR-3,4194,31157,7.42894611349547
RC2_0101_ICR-1,3099,28783,9.287834785414649
RC2_0101_ICR-2,3132,16307,5.206577266922094
RC2_0101_ICR-3,3204,26984,8.421972534332085
RC2_0103_ICR-1,3900,34859,8.938205128205128
RC2_0103_ICR-2,4026,31071,7.717585692995529
RC2_0103_ICR-3,4441,29464,6.6345417698716505
RC2_0104_ICR-1,3896,27414,7.036447638603696
RC2_0104_ICR-2,3586,29064,8.104852203011712
RC2_0104_ICR-3,4068,29957,7.364060963618486
RC2_0105_ICR-1,4313,27542,6.385810340830049
RC2_0105_ICR-2,4362,27727,6.356487849610271
RC2_0105_ICR-3,4358,28513,6.5426801284993115
RC2_0106_ICR-1,4184,31887,7.621175908221797
RC2_0106_ICR-2,4289,32171,7.500816041035207
RC2_0106_ICR-3,4225,28599,6.768994082840237
RC2_0107_ICR-1,2962,11625,3.924713031735314
RC2_0107_ICR-2,3127,23172,7.410297409657819
RC2_0107_ICR-3,3231,23766,7.355617455896008
RC2_0108_ICR-1,4133,26450,6.399709654004355
RC2_0108_ICR-2,4289,28529,6.651667055257636
RC2_0108_ICR-3,4166,25409,6.099135861737878
RC2_0109_ICR-1,4271,30138,7.056427066260829
RC2_0109_ICR-2,4682,32184,6.873985476292183
RC2_0109_ICR-3,4035,31184,7.728376703841388
RC2_0110_ICR-1,4285,27675,6.458576429404901
RC2_0110_ICR-2,3734,29022,7.772362078200321
RC2_0110_ICR-3,4262,29467,6.913890192397935
RC2_0111_ICR-1,3802,29404,7.733824302998422
RC2_0111_ICR-2,3982,28284,7.102963335007534
RC2_0111_ICR-3,3743,28286,7.55703980764093
RC2_0112_ICR-1,3702,29554,7.983252296056186
RC2_0112_ICR-2,4284,26688,6.2296918767507
RC2_0112_ICR-3,4158,29142,7.008658008658009
RC2_0113_ICR-1,3285,18317,5.575951293759513
RC2_0113_ICR-2,3113,25067,8.052361066495342
RC2_0113_ICR-3,3440,27737,8.063081395348837
RC2_0114_ICR-1,3920,27038,6.897448979591837
RC2_0114_ICR-2,3307,26379,7.976716056849108
RC2_0114_ICR-3,3316,26646,8.035585042219541
RC2_0115_ICR-1,4272,31102,7.280430711610487
RC2_0115_ICR-2,3713,29616,7.976299488284406
RC2_0115_ICR-3,3391,30398,8.964317310527868
RC2_0116_ICR-1,3740,28877,7.721122994652406
RC2_0116_ICR-2,3793,23570,6.214078565779067
RC2_0116_ICR-3,3720,29879,8.031989247311827
RC2_0117_ICR-1,4156,29239,7.035370548604427
RC2_0117_ICR-2,4229,30431,7.1957909671317095
RC2_0117_ICR-3,4426,30001,6.778355173971984
RC2_0118_ICR-1,3709,30319,8.17444055001348
RC2_0118_ICR-2,3675,28976,7.884625850340136
RC2_0118_ICR-3,3744,27670,7.390491452991453
RC2_0119_ICR-1,3333,25507,7.652865286528653
RC2_0119_ICR-2,3447,26499,7.687554395126197
RC2_0119_ICR-3,3147,24778,7.873530346361615
RC2_0120_ICR-1,3846,29208,7.594383775351014
RC2_0120_ICR-2,3304,22844,6.914043583535109
RC2_0120_ICR-3,4555,27547,6.0476399560922065
RC2_0121_ICR-1,4141,31822,7.684617242212026
RC2_0121_ICR-2,4477,29318,6.54858163949073
RC2_0121_ICR-3,3683,28968,7.86532717893022
RC2_0122_ICR-1,4148,30518,7.357280617164899
RC2_0122_ICR-2,4464,28362,6.353494623655914
RC2_0122_ICR-3,4378,29890,6.827318410232983
RC2_0123_ICR-1,4312,26648,6.179962894248608
RC2_0123_ICR-2,4335,26741,6.1686274509803924
RC2_0123_ICR-3,3687,28425,7.709519934906428
RC2_0124_ICR-1,4542,26835,5.9081902245706734
RC2_0124_ICR-2,3510,28670,8.168091168091168
RC2_0124_ICR-3,4238,26385,6.225814063237376
RC2_0125_ICR-1,3640,27005,7.418956043956044
RC2_0125_ICR-2,3482,26667,7.658529580700747
RC2_0125_ICR-3,3528,28734,8.144557823129253
RC2_0126_ICR-1,3783,27237,7.1998413957176846
RC2_0126_ICR-2,3491,16628,4.763105127470639
RC2_0127_ICR-1,3309,31039,9.380175279540646
RC2_0127_ICR-2,4546,28618,6.295204575450946
RC2_0127_ICR-3,4177,25661,6.143404357194158
RC2_0128_ICR-1,3909,30448,7.789204400102328
RC2_0128_ICR-2,4417,28510,6.454607199456645
RC2_0128_ICR-3,3835,30027,7.829726205997392
RC2_0129_ICR-1,3755,29660,7.898801597869507
RC2_0129_ICR-2,3829,28781,7.516583964481588
RC2_0129_ICR-3,3972,19877,5.004279959718026
RC2_0130_ICR-1,4085,26137,6.39828641370869
RC2_0130_ICR-2,4154,25091,6.040202214732788
RC2_0130_ICR-3,4196,25912,6.175405147759771
RC2_0131_ICR-1,3449,28857,8.366772977674689
RC2_0131_ICR-2,3824,32402,8.473326359832637
RC2_0131_ICR-3,3271,28419,8.688168755732192
RC2_0132_ICR-1,3723,26416,7.095353209777062
RC2_0132_ICR-2,3293,24779,7.524749468569693
RC2_0132_ICR-3,4014,28057,6.989785749875436
RC2_0133_ICR-1,2951,26838,9.094544222297527
RC2_0133_ICR-2,3996,28618,7.161661661661662
RC2_0133_ICR-3,3330,26526,7.965765765765766
RC2_0134_ICR-1,3499,29439,8.413546727636467
RC2_0134_ICR-2,3770,28152,7.4673740053050395
RC2_0134_ICR-3,4181,27990,6.694570676871562
RC2_0135_ICR-1,4301,24913,5.792373866542665
RC2_0135_ICR-2,3753,26908,7.169730881961097
RC2_0135_ICR-3,4262,25553,5.995541999061474
RC2_0136_ICR-1,4167,27001,6.479721622270218
RC2_0136_ICR-2,4121,27293,6.622907061392866
RC2_0136_ICR-3,4346,22701,5.223423838011965
RC2_0137_ICR-1,3437,30262,8.804771603142274
RC2_0137_ICR-2,3615,29772,8.235684647302904
RC2_0137_ICR-3,4608,30145,6.541883680555555
RC2_0138_ICR-1,3938,23830,6.051295073641442
RC2_0138_ICR-2,4176,25919,6.206657088122605
RC2_0138_ICR-3,4113,22598,5.49428640894724
RC2_0139_ICR-1,4134,29318,7.0919206579583935
RC2_0139_ICR-2,3701,30335,8.196433396379357
RC2_0139_ICR-3,4031,31638,7.848672785909204
RC2_0140_ICR-1,3507,27112,7.730824066153407
RC2_0140_ICR-2,4137,27114,6.554024655547498
RC2_0140_ICR-3,4216,26884,6.3766603415559775
RC2_0141_ICR-1,4187,26776,6.39503224265584
RC2_0141_ICR-2,4308,28489,6.613045496750233
RC2_0141_ICR-3,4298,26257,6.109120521172638
