"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","HtoC_ratio","OtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","17O","18O","33S","34S","15N"
3962,491.206654,491.205160446141,491.205024912966,10256638,NA,206645.3,48.77,-1,0.275919764594018,0.992959622922266,0.951472829468763,0.976364905540865,18,0.96969696969697,0.0606060606060606,"S1 O2","de-protonated",0,NA,"C33 H32 O2 S1",33,32,2,NA,NA,1,NA,NA,NA,NA,NA,NA
3963,491.22379,491.222296366254,491.222131529073,3306756,NA,153818.3,14.36,-1,0.335565460706059,0.979775436261772,0,0.587865261757063,9,1.44,0.24,"N2 S1 O6","de-protonated",0,NA,"C25 H36 O6 S1 N2",25,36,6,2,NA,1,NA,NA,NA,NA,NA,NA
3964,491.229941,491.228447337578,491.22865620451,5254406.5,NA,215251.6,24,-1,-0.425192889888799,0.483864143967076,0.779247987650237,0.60201768144034,9,1.38461538461538,0.346153846153846,"O9","de-protonated",0,NA,"C26 H36 O9",26,36,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
3965,491.242951,491.241457276926,491.241410422351,6596875,NA,207946,30.65,-1,0.0953799389064572,0.499175331289362,0.72968508002065,0.591379230781877,17,1.05882352941176,0.0294117647058824,"S1 O1","de-protonated",0,NA,"C34 H36 O1 S1",34,36,1,NA,NA,1,NA,NA,NA,NA,NA,NA
3966,491.266561,491.265067166858,491.265041713895,2039571.4,NA,203752,8.08,-1,0.0518110614349189,0.999513040274351,0,0.59970782416461,8,1.48148148148148,0.296296296296296,"O8","de-protonated",0,NA,"C27 H40 O8",27,40,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
3967,491.279575,491.278081106187,491.277928873517,2458392,NA,234199.2,10.15,-1,0.30987077121392,0.982728213557853,0,0.589636928134712,3,1.875,0.333333333333333,"P1 O8","de-protonated",0,NA,"C24 H45 O8 P1",24,45,8,NA,1,NA,NA,NA,NA,NA,NA,NA
3968,492.079524,492.078026376867,492.077850074829,3168311.5,NA,182477.7,13.67,-1,0.358280783192532,0.488488737576113,0.72968508002065,0.584967274553928,31,0.323529411764706,0.0588235294117647,"N3 O2","de-protonated",0,NA,"C34 H11 O2 N3",34,11,2,3,NA,NA,NA,NA,NA,NA,NA,NA
3970,492.101107,492.099609276248,492.099492507265,2715199.3,NA,207958.1,11.42,-1,0.23728734598282,0.989835491447404,0,0.593901294868442,8,1.27777777777778,0.833333333333333,"N1 O15","de-protonated",0,NA,"C18 H23 O15 N1",18,23,15,1,NA,NA,NA,NA,NA,NA,NA,NA
3974,492.152537,492.151039036484,492.151134157935,3922513.8,NA,166859.2,17.4,-1,-0.19327691030486,0.993244729515008,0,0.595946837709005,11,1.17391304347826,0.478260869565217,"N1 O11","de-protonated",0,NA,"C23 H27 O11 N1",23,27,11,1,NA,NA,NA,NA,NA,NA,NA,NA
3978,492.201989,492.200490805941,492.200273885159,2083427.4,NA,233468.5,8.3,-1,0.440716500237371,0.965370835582439,0,0.579222501349463,18,0.96875,0.0625,"N1 S1 O2","de-protonated",0,NA,"C32 H31 O2 S1 N1",32,31,2,1,NA,1,NA,NA,NA,NA,NA,NA
3980,492.225364,492.223865696968,492.223905176703,1824875.8,NA,196484.6,7.02,-1,-0.0802068622064552,0.99883339607502,0,0.599300037645012,9,1.4,0.36,"N1 O9","de-protonated",0,NA,"C25 H35 O9 N1",25,35,9,1,NA,NA,NA,NA,NA,NA,NA,NA
