Analysis_Precision,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
Data_Status,N/A,N/A,N/A,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,N/A
N/A,RC2_0113_Water,10.58052/IEPRS00EU,Liquid>aqueous,8.153,0.917,-9999,-9999,-9999,2.44,0.8,-9999,3.24,TRUE
N/A,RC2_0114_Water,10.58052/IEPRS00ET,Liquid>aqueous,9.17,1.493,-9999,-9999,-9999,1.707,1.003,-9999,0.9,TRUE
N/A,RC2_0115_Water,10.58052/IEPRS00ES,Liquid>aqueous,6.743,2.443,-9999,-9999,-9999,3.433,1.23,0.1,5.87,TRUE
N/A,RC2_0116_Water,10.58052/IEPRS00ER,Liquid>aqueous,13.573,3.837,1.1,-9999,-9999,4.34,1.64,0.37,7.54,TRUE
N/A,RC2_0117_Water,10.58052/IEPRS00EQ,Liquid>aqueous,22.29,7.37,5.723,-9999,-9999,11.35,1.867,1.277,5.05,TRUE
N/A,RC2_0118_Water,10.58052/IEPRS00EP,Liquid>aqueous,24.933,8.753,5.59,-9999,-9999,14.867,1.98,1.18,10.1,TRUE
N/A,RC2_0119_Water,10.58052/IEPRS00FB,Liquid>aqueous,8.157,1.057,-9999,-9999,-9999,2.267,0.64,-9999,0.49,TRUE
N/A,RC2_0120_Water,10.58052/IEPRS00FA,Liquid>aqueous,9.32,1.507,-9999,-9999,-9999,1.64,1.033,-9999,0.5,TRUE
N/A,RC2_0121_Water,10.58052/IEPRS00F9,Liquid>aqueous,6.903,2.813,0.155,-9999,-9999,3.253,1.15,0.1,4.65,TRUE
N/A,RC2_0122_Water,10.58052/IEPRS00F8,Liquid>aqueous,13.947,4.477,1.077,-9999,-9999,4.69,1.753,0.383,6.09,TRUE
N/A,RC2_0123_Water,10.58052/IEPRS00FC,Liquid>aqueous,24.743,10.393,5.4,0.04,-9999,13.923,1.887,1.467,9.76,TRUE
N/A,RC2_0124_Water,10.58052/IEPRS00F7,Liquid>aqueous,27.503,10.337,5.15,-9999,-9999,15.97,1.79,1.227,3.89,TRUE
N/A,RC2_0125_Water,10.58052/IEPRS00F0,Liquid>aqueous,8.303,0.903,-9999,-9999,-9999,2.103,0.463,-9999,4.87,TRUE
N/A,RC2_0126_Water,10.58052/IEPRS00EZ,Liquid>aqueous,9.267,1.71,-9999,-9999,-9999,1.46,0.797,-9999,21.1,TRUE
N/A,RC2_0127_Water,10.58052/IEPRS00EY,Liquid>aqueous,7.137,3.07,-9999,-9999,-9999,2.98,0.953,-9999,5.06,TRUE
N/A,RC2_0128_Water,10.58052/IEPRS00EX,Liquid>aqueous,14.19,5.483,1.067,-9999,-9999,4.78,1.397,-9999,6.32,TRUE
N/A,RC2_0129_Water,10.58052/IEPRS00EW,Liquid>aqueous,25.203,9.947,4.92,-9999,-9999,13.153,1.587,-9999,5.17,TRUE
N/A,RC2_0130_Water,10.58052/IEPRS00EV,Liquid>aqueous,27.893,10.777,4.597,-9999,-9999,15.62,1.727,-9999,2.72,TRUE
N/A,RC2_0131_Water,10.58052/IEPRS00F6,Liquid>aqueous,8.327,1.515,-9999,-9999,-9999,2.017,0.557,-9999,0.44,TRUE
N/A,RC2_0132_Water,10.58052/IEPRS00F5,Liquid>aqueous,9.177,1.7,-9999,-9999,-9999,1.513,0.773,-9999,1.03,TRUE
N/A,RC2_0133_Water,10.58052/IEPRS00F4,Liquid>aqueous,7.45,1.83,-9999,-9999,-9999,1.877,0.92,-9999,4.08,TRUE
N/A,RC2_0134_Water,10.58052/IEPRS00F3,Liquid>aqueous,16.727,4.993,1.18,0.08,-9999,4.96,1.307,-9999,5.95,TRUE
N/A,RC2_0135_Water,10.58052/IEPRS00F2,Liquid>aqueous,23.16,8.637,4.28,-9999,-9999,10.327,1.463,-9999,7.38,TRUE
N/A,RC2_0136_Water,10.58052/IEPRS00F1,Liquid>aqueous,27.147,8.563,4.04,0.09,-9999,12.257,1.68,-9999,23.1,TRUE
N/A,RC2_0137_Water,10.58052/IEPRS00FI,Liquid>aqueous,6.95,1.123,-9999,-9999,-9999,2.37,0.967,0.147,1.23,TRUE
N/A,RC2_0138_Water,10.58052/IEPRS00FH,Liquid>aqueous,8.453,1.603,-9999,-9999,-9999,1.457,1.61,0.163,1.04,TRUE
N/A,RC2_0139_Water,10.58052/IEPRS00FG,Liquid>aqueous,7.623,2.413,-9999,-9999,-9999,3.077,1.12,0.145,7.77,TRUE
N/A,RC2_0140_Water,10.58052/IEPRS00FF,Liquid>aqueous,15.873,5.453,1.177,0.06,-9999,4.723,1.343,0.48,4.59,TRUE
N/A,RC2_0141_Water,10.58052/IEPRS00FE,Liquid>aqueous,24.847,8.58,4.293,0.065,-9999,10.75,1.537,1.35,13.4,TRUE
N/A,RC2_0142_Water,10.58052/IEPRS00FD,Liquid>aqueous,26.693,9.073,4.717,-9999,-9999,13.11,1.63,1.48,8.66,TRUE
N/A,RC2_0143_Water,10.58052/IEPRS00FO,Liquid>aqueous,5.913,1.093,0.14,-9999,-9999,2.027,0.987,0.13,1.78,TRUE
N/A,RC2_0144_Water,10.58052/IEPRS00FN,Liquid>aqueous,7.957,1.275,0.175,-9999,-9999,1.38,1.42,0.163,2.04,TRUE
N/A,RC2_0145_Water,10.58052/IEPRS00FM,Liquid>aqueous,7.173,1.847,-9999,-9999,-9999,3.037,1.07,0.143,21.1,TRUE
N/A,RC2_0146_Water,10.58052/IEPRS00FL,Liquid>aqueous,15.173,5.837,1.327,0.05,-9999,5.207,1.363,0.457,3.78,TRUE
N/A,RC2_0147_Water,10.58052/IEPRS00FK,Liquid>aqueous,23.257,7.963,3.91,0.05,-9999,10.493,1.397,1.303,6.64,TRUE
N/A,RC2_0148_Water,10.58052/IEPRS00FJ,Liquid>aqueous,24.767,8.383,4.403,-9999,-9999,12.327,1.48,1.22,6.37,TRUE
N/A,RC2_0149_Water,10.58052/IEPRS00FS,Liquid>aqueous,4.867,-9999,-9999,-9999,-9999,-9999,1,0.645,3.87,TRUE
N/A,RC2_0150_Water,10.58052/IEPRS00FU,Liquid>aqueous,5.953,-9999,-9999,-9999,-9999,-9999,1.763,0.13,2.79,TRUE
N/A,RC2_0151_Water,10.58052/IEPRS00FT,Liquid>aqueous,5.083,-9999,-9999,-9999,-9999,-9999,1.563,0.665,12.1,TRUE
N/A,RC2_0152_Water,10.58052/IEPRS00FR,Liquid>aqueous,9.207,-9999,-9999,-9999,-9999,-9999,1.607,0.265,11.7,TRUE
N/A,RC2_0153_Water,10.58052/IEPRS00FP,Liquid>aqueous,12.163,-9999,-9999,-9999,-9999,-9999,2.137,0.115,33.1,TRUE
