Formula,mf,Group,Transformation
C4H4N2O1,96.032363,Other,random
C6H8O,96.057515,Other,random
H_1N_1O3S2,96.91799,Other,random
H3O3N1S1,96.983366,Other,random
H4N1O3P1,96.992882,Other,random
C4H3O2N1,97.016379,Other,random
Proline_C5H7NO,97.052764,Other,random
H3O4P1,97.976898,Other,random
C4H2O3,98.000395,Other,random
C5H6O2,98.03678,Other,random
C6H10O1,98.073165,Other,random
C4H5N1O2,99.032029,Other,random
C8H5N1O_1,99.047284,Other,random
Valine_C5H9NO,99.068414,Other,random
C4H4O3,100.016045,Other,random
C5H8O2,100.05243,Other,random
C4H8O1N2,100.063663,Other,random
C3H3O3N1,101.011294,Other,random
Threonine_C4H7NO2,101.047679,Other,random
C5H11N1O1,101.084064,Other,random
C4H6O1S1,102.013937,Other,random
C5H2O_1N4,102.033031,Other,random
C5H10O2,102.06808,Other,random
C6H14O1,102.104465,Other,random
C6H1N1O1,103.005814,Other,random
C8H9N1O_1,103.078584,Other,random
C6O2,103.98983,Other,random
C3H4O4,104.01096,Other,random
C7H4O1,104.026215,Other,random
C6H4N2,104.037448,Other,random
C4H8O3,104.047345,Other,random
C8H8,104.0626,Other,random
C6H3N1O1,105.021464,Other,random
C3H7N1O1S1,105.024836,Other,random
C6H5N2,105.045273,Other,random
C4H11N1O2,105.078979,Other,random
C3H6O4,106.0266395,Other,random
C6H4O1N1,106.029289,Other,random
C2H5O2N1S1,107.004101,Other,random
C2H6N1O2P1,107.013617,Other,random
C6H5N1O1,107.037114,Other,random
C7H9N1,107.073499,Other,random
C1H1O4P1,107.961248,Other,random
C6H4O2,108.02113,Other,random
C3H8O4,108.0422932,Other,random
C7H8O1,108.057515,Other,random
C8H12,108.0939,Other,random
C5H3O2N1,109.016379,Other,random
C2H7O2N1S1,109.019751,Other,random
C6H7O1N1,109.052764,Other,random
C5H2O3,110.0004544,Other,random
cytosine_(_H)_C4H4N3O,110.035437,Other,random
C6H6O2,110.03678,Other,random
C5H6O1N2,110.048013,Other,random
C7H10O1,110.073165,Other,random
C13H16O2P_2S_1,110.195432,Other,random
C1H1N_1O3S2,110.93364,Other,random
C3H1N3O2,111.006877,Other,random
uracil_(_H)_C4H3N2O2,111.019453,Other,random
C6H5Cl1,112.008,Other,random
C5H4O3,112.016045,Other,random
C4H4N2O2,112.027278,Other,random
C6H8O2,112.052473,Other,random
C5H12N4O_1,112.111281,Other,random
C8H16,112.1252,Other,random
H1S2O3,112.936714,Other,random
C1H4N_1O5P1,112.976564,Other,random
C5H7N1O2,113.047679,Other,random
Isoleucine_C6H11NO,113.084064,Other,random
C4H2O4,113.99531,Other,random
C4H3F1N2O1,114.0229412,Other,random
C5H6O3,114.031695,Other,random
Asparagine_C4H6N2O2,114.042928,Other,random
C6H10O2,114.06808,Other,random
C5H10N2O1,114.079313,Other,random
Aspartic_Acid_C4H5NO3,115.026944,Other,random
C5H7O3,115.03952,Other,random
C8H5N1,115.042199,Other,random
C5H9N1O2,115.063329,Other,random
C4H4O4,116.01096,Other,random
C3H4N2O3,116.022193,Other,random
C5H8O1S1,116.029587,Other,random
C5H8O3,116.047345,Other,random
C8H8O_1N2,116.073833,Other,random
C5H12O1N2,116.094963,Other,random
C4H7N1O1S1,117.024836,Other,random
C4H7O3N1,117.042594,Other,random
C5H3N5O_1,117.04393,Other,random
C8H7N1,117.057849,Other,random
C3H2O5,117.990225,Other,random
C4H6O4,118.02661,Other,random
C5H2N4,118.027946,Other,random
C8H6O1,118.041865,Other,random
C9H10,118.07825,Other,random
C3H5N1O2S1,119.004101,Other,random
C7H5N1O1,119.037114,Other,random
