Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,MolForm,AI,AI_Mod,DBE_1,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class,delGcox0PerCmol,delGcoxPerCmol,lamO20,lamO2,delGd0,delGd
311.105539951575,15,21,5,0,0,0,1,0,CHOP,Lignin,312.112816418455,-0.500216096537972,2,C15H21O5P,0,0.217391304347826,6,1,0,90.7,310.758156726377,0.241843273622692,-1.06666666666667,0.333333333333333,1.4,0,0.0666666666666667,0,Lignin,Lignin,Lipid,90.7,-157.013828802379,0.049237392664763,0.0438289102699958,1360.5,-2355.20743203569
311.108084497368,0,0,0,0,0,0,0,0,,None,312.115360964248,0,0,NA,NA,NA,NA,NA,NA,NA,310.760698430908,0.239301569092277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
311.113577142945,15,20,7,0,0,0,0,0,CHO,Lignin,312.120853609825,0.158229976137554,2,C15H20O7,0,0.217391304347826,6,-1,-1,71.7,310.766184943348,0.233815056652361,-0.4,0.466666666666667,1.33333333333333,0,0,NA,Lignin,Lignin,Other,71.7,-144.050754118201,0.0647848240861812,0.0586438335645184,1075.5,-2160.76131177302
311.126723036904,0,0,0,0,0,0,0,0,,None,312.133999503784,0,0,NA,NA,NA,NA,NA,NA,NA,310.779316158484,0.220683841516006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
311.132309753546,16,24,4,0,0,1,0,0,CHOS,Lipid,312.139586220426,-0.180277119760991,1,C16H24O4S,0,0.153846153846154,5,1,0,85.2375,310.784896636948,0.215103363051753,-0.875,0.25,1.5,0,0,NA,Other,Lipid,Other,85.2375,-151.988444921633,0.0499850043026974,0.0449851574603724,1363.8,-2431.81511874613
311.141963367269,0,0,0,0,0,0,0,0,,None,312.149239834149,0,0,NA,NA,NA,NA,NA,NA,NA,310.79453947136,0.20546052864006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
311.144481317461,0,0,0,0,0,0,0,0,,None,312.151757784341,0,0,NA,NA,NA,NA,NA,NA,NA,310.797054609986,0.202945390013781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
311.149985336463,16,24,6,0,0,0,0,0,CHO,Protein,312.157261803343,0.0855327112167312,1,C16H24O6,0,0.153846153846154,5,-1,-1,81.675,310.802552483151,0.19744751684857,-0.75,0.375,1.5,0,0,NA,Protein,Protein,Other,81.675,-148.059599292529,0.0526280225265598,0.0478201766568407,1306.8,-2368.95358868046
311.155483756961,0,0,0,0,0,0,0,0,,None,312.162760223841,0,1,NA,NA,NA,NA,NA,NA,NA,310.808044764064,0.19195523593595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
311.163066071547,0,0,0,0,0,0,0,0,,None,312.170342538427,0,0,NA,NA,NA,NA,NA,NA,NA,310.81561861217,0.184381387830172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
311.167639874594,0,0,0,0,0,0,0,0,,None,312.174916341474,0,1,NA,NA,NA,NA,NA,NA,NA,310.820187308067,0.179812691932568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
311.168665264721,17,28,3,0,0,1,0,0,CHOS,Lipid,312.175941731601,-0.0841720888458979,1,C17H28O3S,0,0.103448275862069,4,1,0,93.8294117647059,310.821211553235,0.178788446765282,-1.17647058823529,0.176470588235294,1.64705882352941,0,0,NA,Lipid,Lipid,Other,93.8294117647059,-155.294552685504,0.0414905795836145,0.0374417816668338,1595.1,-2640.00739565358
311.175153154788,0,0,0,0,0,0,0,0,,None,312.182429621668,0,0,NA,NA,NA,NA,NA,NA,NA,310.827692198866,0.172307801134309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
311.186410197274,17,28,5,0,0,0,0,0,CHO,Lipid,312.193686664154,-0.0405352643134088,1,C17H28O5,0,0.103448275862069,4,-1,-1,90.4764705882353,310.838936671637,0.161063328362559,-1.05882352941176,0.294117647058824,1.64705882352941,0,0,NA,Lipid,Lipid,Other,90.4764705882353,-151.596815622818,0.0435872598930757,0.0397095807118308,1538.1,-2577.14586558791
311.94787665447,0,0,0,0,0,0,0,0,,None,312.95515312135,0,1,NA,NA,NA,NA,NA,NA,NA,311.599552868585,0.400447131415262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312.01953260463,0,0,0,0,0,0,0,0,,None,313.02680907151,0,2,NA,NA,NA,NA,NA,NA,NA,311.671128807071,0.328871192929341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312.03602896415,12,11,9,1,0,0,0,0,CHON,Tannin,313.04330543103,0.241264287392575,2,C12H11O9N,0,0.384615384615385,8,-1,-2,36.55,311.687606746608,0.312393253391804,0.833333333333333,0.75,0.916666666666667,0.0833333333333333,0,NA,Tannin,Tannin,Other,36.55,-126.594860367158,0.108023318897272,0.0942836694221627,438.6,-1519.1383244059
312.048660191355,0,0,0,0,0,0,0,0,,None,313.055936658235,0,1,NA,NA,NA,NA,NA,NA,NA,311.700223869672,0.299776130327928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312.066838559615,0,0,0,0,0,0,0,0,,None,313.074115026495,0,1,NA,NA,NA,NA,NA,NA,NA,311.718381939804,0.281618060196308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312.067050118197,0,0,0,0,0,0,0,0,,None,313.074326585077,0,0,NA,NA,NA,NA,NA,NA,NA,311.718593262158,0.281406737842474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312.072460533305,13,15,8,1,0,0,0,0,CHON,Lignin,313.079737000185,0.0941080221727305,2,C13H15O8N,0,0.25,7,-1,-2,51.5307692307692,311.723997635948,0.276002364052374,0.307692307692307,0.615384615384615,1.15384615384615,0.0769230769230769,0,NA,Lignin,Lignin,Other,51.5307692307692,-132.871584716411,0.0905544685341888,0.0800905872378719,669.9,-1727.33060131334
312.145300809776,15,23,6,1,0,0,0,0,CHON,Protein,313.152577276656,-0.127096372033481,1,C15H23O6N,0,0.0909090909090909,5,-1,-2,75.5,311.796756578315,0.203243421684761,-0.533333333333333,0.4,1.53333333333333,0.0666666666666667,0,NA,Protein,Protein,Other,75.5,-142.914343675216,0.061350369584133,0.0562496288004709,1132.5,-2143.71515512824
312.189944846491,0,0,0,0,0,0,0,0,,None,313.197221313371,0,0,NA,NA,NA,NA,NA,NA,NA,311.8413507651,0.158649234899997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312.790830379076,0,0,0,0,0,0,0,0,,None,313.798106845956,0,0,NA,NA,NA,NA,NA,NA,NA,312.441565343531,0.558434656468762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312.836242971699,0,0,0,0,0,0,0,0,,None,313.843519438579,0,0,NA,NA,NA,NA,NA,NA,NA,312.486927228048,0.513072771952352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
