Mass,RC2_0001_ICR.1_p08,RC2_0001_ICR.2_p08,RC2_0001_ICR.3_p08,RC2_0002_ICR.1_p08,RC2_0002_ICR.2_p08,RC2_0002_ICR.3_p08,RC2_0003_ICR.1_p08,RC2_0003_ICR.2_p08,RC2_0003_ICR.3_p08,RC2_0004_ICR.1_p08,RC2_0004_ICR.2_p08,RC2_0004_ICR.3_p08,RC2_0005_ICR.1_p08,RC2_0005_ICR.2_p08,RC2_0005_ICR.3_p08,RC2_0006_ICR.1_p08,RC2_0006_ICR.2_p08,RC2_0006_ICR.3_p08
267.100527646435,1334540,1657602.3,1672341.4,0,0,1364305.9,0,1458538,1277790.1,1331230.1,0,0,1307436.8,1710284,1632505.4,2414804.5,1568030.6,1806149.1
267.118317415374,0,0,0,0,0,0,1456570.4,1408625.8,2499686,0,0,0,1302325,1566164.3,0,0,1886247,0
267.123034582101,0,0,1237407.5,0,0,2379100,0,0,0,1354024.1,0,0,0,0,0,0,1539625.1,1644623.5
267.123834880406,6693910,7601164.5,6707104,12983300,12126581,11751772,9402301,7537780,10975337,9741097,8227633.5,8677097,9791032,9356247,7699460,9167071,9238570,8730704
267.137046550205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1424357.3,0,0
267.143772786462,0,0,1572264.9,0,0,1353829.3,2245061.5,1424764.8,5884017.5,0,0,0,0,0,1589260.8,0,0,1336409
267.152260326721,0,0,0,0,0,0,0,0,1267701.4,0,0,0,0,0,0,0,0,0
267.154596318279,0,0,0,0,0,0,0,0,1457014.5,0,0,0,0,0,0,0,0,0
267.160267839053,2753062,3020317.3,1759664.3,2203668.8,2569605,2386284.8,1444044.6,1870979.9,1839481,0,1956162.1,2218489.3,1677896.3,2142183.5,2597396,2965744,2219066.5,1816416.6
267.411326948827,0,0,0,0,1225718.8,0,0,0,0,0,0,0,0,0,0,0,0,0
267.536236758958,0,0,1211609.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267.778650208227,0,1356086.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268.02241511139,0,0,0,0,0,0,0,0,0,0,0,1286528.1,0,0,0,0,0,0
268.040680826991,0,0,0,0,0,0,0,0,0,0,0,1445512.4,0,0,0,0,1488084.6,0
268.046318809778,0,1887151.9,0,0,0,0,0,0,0,0,0,0,0,0,0,3483272.8,1412567.3,1410039.8
268.077109428234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1442582.9,0,0
268.082715417702,0,0,0,0,0,0,0,1323794,0,0,1289444.6,0,1526512.9,0,0,1807001.4,0,1562888.5
268.095843140306,0,0,0,0,0,1231120.3,0,0,0,0,0,0,0,0,0,0,0,0
268.095987503768,0,0,0,0,1244204.8,0,0,0,0,0,0,0,0,0,0,0,0,0
268.112415751068,0,0,0,0,0,0,0,0,0,0,1350066.3,0,0,0,0,0,0,0
268.143950905821,0,0,0,0,0,0,1210103.9,0,0,0,0,0,0,0,0,0,0,0
268.162735210034,1399130.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268.168608037412,4112861.3,2166247.5,1970294.9,0,0,0,1376130.6,4164151,0,0,0,2924738.3,0,0,3849173.8,1807553,1930512.3,1611312
268.769229799041,0,0,1505541.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268.800205786239,2512624.3,1264390.6,2005651.6,0,0,0,0,0,0,0,0,1302240.6,0,0,3157743.3,0,0,0
268.801002012761,13674225,8931079,11615892,5619442.5,2673772.3,7632972.5,5268117.5,31057736,2942302.3,4145691,1391146.6,5480929,4519227.5,2117335.5,18831088,4948965,3745591,3990354.5
268.846545817306,0,0,0,0,1382784.9,0,0,0,0,0,0,0,0,0,0,0,0,0
