Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,P
307,242.067415,242.0670724863663,242.06701060873021,4487697.5,nan,468339.9,33.79,-1,0.2556219285297208,0.988213685697441,0.0,0.5929282114184645,5.0,1.3,0.6,N1 O6,de-protonated,0,,C10 H13 O6 N1,10,13,6,,1,,
308,242.140235,242.13989223862774,242.13978162749882,5295664.5,nan,479843.1,40.32,-1,0.45680692438918247,0.9628444920857278,0.0,0.5777066952514366,3.0,1.75,0.3333333333333333,N1 O4,de-protonated,0,,C12 H21 O4 N1,12,21,4,,1,,
309,242.176561,242.17621811504424,242.1761671368831,6183488.0,nan,427782.1,47.49,-1,0.21050032191023937,0.9919921736011629,0.0,0.5951953041606977,2.0,1.9230769230769231,0.23076923076923078,N1 O3,de-protonated,0,,C13 H25 O3 N1,13,25,3,,1,,
311,243.033673,243.03332719909147,243.0332681269015,1986221.9,nan,491095.3,13.58,-1,0.24306215533819858,0.9893374074894113,0.0,0.5936024444936467,5.0,1.2,0.5,S1 O5,de-protonated,0,,C10 H12 O5 S1,10,12,5,1,,,
312,243.051438,243.05109213865373,243.0510261916309,3678133.5,nan,476354.8,27.25,-1,0.27132995014222155,0.9867305836204114,0.0,0.5920383501722468,5.0,1.2,0.7,O7,de-protonated,0,,C10 H12 O7,10,12,7,,,,
313,243.087856,243.08751001475724,243.0874117010152,5964741.0,nan,465850.4,45.72,-1,0.40443781659124994,0.9707565606209462,0.0,0.5824539363725677,4.0,1.4545454545454546,0.5454545454545454,O6,de-protonated,0,,C11 H16 O6,11,16,6,,,,
314,243.124157,243.1238108912588,243.12379721039952,2707412.8,nan,527597.5,19.41,-1,0.056271164953644544,0.9994256179155526,0.0,0.5996553707493315,3.0,1.6666666666666667,0.4166666666666667,O5,de-protonated,0,,C12 H20 O5,12,20,5,,,,
316,243.16056,243.16021376741335,243.16018271978382,2099172.3,nan,438683.0,14.49,-1,0.12768385508973665,0.9970461829197135,0.0,0.598227709751828,2.0,1.8461538461538463,0.3076923076923077,O4,de-protonated,0,,C13 H24 O4,13,24,4,,,,
321,245.045906,245.04555335333924,245.0455468880095,1552654.5,nan,540544.5,10.07,-1,0.02638419597918043,0.9998736968654545,0.0,0.5999242181192727,9.0,0.7692307692307693,0.38461538461538464,O5,de-protonated,0,,C13 H10 O5,13,10,5,,,,
322,245.049327,245.04897434170076,245.0489181913795,2757392.0,nan,508221.2,19.8,-1,0.2291392333866861,0.9905183125190159,0.0,0.5943109875114095,4.0,1.4,0.5,S1 O5,de-protonated,0,,C10 H14 O5 S1,10,14,5,1,,,
323,245.067051,245.06669828140252,245.0666762561089,2983703.5,nan,417068.2,21.63,-1,0.08987469840400308,0.9985354287705889,0.0,0.5991212572623533,4.0,1.4,0.7,O7,de-protonated,0,,C10 H14 O7,10,14,7,,,,
324,245.103481,245.1031281574652,245.1030617654932,4248359.5,nan,450821.5,31.63,-1,0.2708736949505144,0.9867748763471453,0.0,0.5920649258082872,3.0,1.6363636363636365,0.5454545454545454,O6,de-protonated,0,,C11 H18 O6,11,18,6,,,,
327,247.061572,247.0612124959077,247.0611969524875,1285239.3,nan,433460.9,7.85,-1,0.06291323929453878,0.999282070202818,0.0,0.5995692421216908,8.0,0.9230769230769231,0.38461538461538464,O5,de-protonated,0,,C13 H12 O5,13,12,5,,,,
329,247.082711,247.08235142399138,247.0823263205869,2114944.5,nan,439082.7,14.5,-1,0.10159935296092514,0.9981287618583524,0.0,0.5988772571150114,3.0,1.6,0.7,O7,de-protonated,0,,C10 H16 O7,10,16,7,,,,
331,247.119142,247.1187823000507,247.1187118299712,1349008.3,nan,503511.1,8.36,-1,0.28516691014950724,0.9853528905947977,0.0,0.5912117343568786,2.0,1.8181818181818181,0.5454545454545454,O6,de-protonated,0,,C11 H20 O6,11,20,6,,,,
332,248.056897,248.05653410974497,248.0564459246805,1386280.6,nan,479827.3,8.66,-1,0.35550402305230655,0.9773288916453923,0.0,0.5863973349872353,8.0,0.9166666666666666,0.4166666666666667,N1 O5,de-protonated,0,,C12 H11 O5 N1,12,11,5,,1,,
334,248.114431,248.11406791401043,248.1139608021642,1194817.6,nan,482743.0,7.12,-1,0.4317042293273929,0.9667490539854543,0.0,0.5800494323912726,2.0,1.9,0.6,N1 O6,de-protonated,0,,C10 H19 O6 N1,10,19,6,,1,,
336,249.040874,249.04050776218895,249.04046150758123,3051990.5,nan,457870.1,22.01,-1,0.1857312962096386,0.9937602738126349,0.0,0.5962561642875809,8.0,0.8333333333333334,0.5,O6,de-protonated,0,,C12 H10 O6,12,10,6,,,,
337,249.052051,249.05168472416403,249.0516948968735,1201755.4,nan,419573.5,7.17,-1,-0.04084577489070174,0.9996973209424002,0.0,0.5998183925654401,8.0,0.9090909090909091,0.45454545454545453,N2 O5,de-protonated,0,,C11 H10 O5 N2,11,10,5,,2,,
339,249.059389,249.0590226991997,249.0590889522361,1251550.5,nan,382047.5,7.57,-1,-0.2660133251385827,0.9872422098873366,0.0,0.592345325932402,7.0,1.0769230769230769,0.23076923076923078,S1 O3,de-protonated,0,,C13 H14 O3 S1,13,14,3,1,,,
340,249.077249,249.07688263843875,249.0768470169655,2943974.3,nan,474535.4,21.15,-1,0.14301398813855673,0.9962957077540098,0.0,0.5977774246524058,7.0,1.0769230769230769,0.38461538461538464,O5,de-protonated,0,,C13 H14 O5,13,14,5,,,,
343,249.113702,249.11333551442317,249.11323252634983,1484278.4,nan,462683.5,9.44,-1,0.41341871843793027,0.9694636399812295,0.0,0.5816781839887377,6.0,1.2857142857142858,0.2857142857142857,O4,de-protonated,0,,C14 H18 O4,14,18,4,,,,
344,249.149995,249.14962839095193,249.1496180357341,1509638.3,nan,442867.9,9.64,-1,0.041562246437273,0.9996866109672159,0.0,0.5998119665803295,5.0,1.4666666666666666,0.2,O3,de-protonated,0,,C15 H22 O3,15,22,3,,,,
346,250.006624,250.00625447664237,250.0063389031974,1228925.8,nan,430137.0,7.39,-1,-0.33769765754873615,0.9795202625474054,0.0,0.5877121575284432,13.0,0.42857142857142855,0.14285714285714285,N1 P1 O2,de-protonated,0,,C14 H6 O2 N1 P1,14,6,2,,1,,1
347,250.036114,250.03574437631542,250.03571047977422,1708170.6,nan,474218.8,11.23,-1,0.13556680016613587,0.9966708252426348,0.0,0.5980024951455809,8.0,0.8181818181818182,0.5454545454545454,N1 O6,de-protonated,0,,C11 H9 O6 N1,11,9,6,,1,,
350,251.020132,251.01975902861986,251.01972606267492,2892603.3,nan,439385.6,20.73,-1,0.13132810499102923,0.9968754332460837,0.0,0.5981252599476502,8.0,0.7272727272727273,0.6363636363636364,O7,de-protonated,0,,C11 H8 O7,11,8,7,,,,
351,251.056544,251.0561709047438,251.05611157205922,5072203.5,nan,452433.6,37.93,-1,0.23633236490508708,0.9899167294442263,0.0,0.5939500376665358,7.0,1.0,0.5,O6,de-protonated,0,,C12 H12 O6,12,12,6,,,,
352,251.059965,251.05959189310533,251.0594828754292,1825100.9,nan,453580.9,12.08,-1,0.4342304655263911,0.9663653993151177,0.0,0.5798192395890706,2.0,1.7777777777777777,0.6666666666666666,S1 O6,de-protonated,0,,C9 H16 O6 S1,9,16,6,1,,,
355,251.092893,251.09251978108205,251.0924970814435,4004187.3,nan,492655.4,29.43,-1,0.09040349199251917,0.9985181567589662,0.0,0.5991108940553797,6.0,1.2307692307692308,0.38461538461538464,O5,de-protonated,0,,C13 H16 O5,13,16,5,,,,
356,251.129301,251.12892765721958,251.12888259082783,2464107.5,nan,445478.1,17.16,-1,0.179455231449774,0.9941736333202107,0.0,0.5965041799921263,5.0,1.4285714285714286,0.2857142857142857,O4,de-protonated,0,,C14 H20 O4,14,20,4,,,,
359,252.051804,252.05142751880223,252.05136054425222,1495298.4,nan,596639.0,9.45,-1,0.26571786743947023,0.9872703529386826,0.0,0.5923622117632096,7.0,1.0,0.5454545454545454,N1 O6,de-protonated,0,,C11 H11 O6 N1,11,11,6,,1,,
361,252.97907,252.97869036418084,252.97873062959468,4442268.5,nan,427613.2,32.91,-1,-0.15916521418162047,0.9954138066872056,0.0,0.5972482840123233,12.0,0.42857142857142855,0.07142857142857142,S2 O1,de-protonated,0,,C14 H6 O1 S2,14,6,1,2,,,
363,253.035793,253.03541317120536,253.03537612715292,3034293.5,nan,478292.2,21.7,-1,0.14639870920317252,0.9961186381742032,0.0,0.5976711829045219,7.0,0.9090909090909091,0.6363636363636364,O7,de-protonated,0,,C11 H10 O7,11,10,7,,,,
364,253.0722,253.0718200473463,253.07176163653722,6501573.5,nan,430106.9,49.31,-1,0.23080729636272937,0.9903804310512492,0.0,0.5942282586307495,6.0,1.1666666666666667,0.5,O6,de-protonated,0,,C12 H14 O6,12,14,6,,,,
