Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,34S,P
437,287.056859,287.0562007337404,287.0561115720592,2099132.5,nan,421585.4,13.32,-1,0.3106071517814832,0.9826467435227842,0.0,0.5895880461136705,10.0,0.8,0.4,O6,de-protonated,0,,C15 H12 O6,15,12,6,,,,,
439,287.077981,287.0773226102961,287.07724094015856,6163398.0,nan,386578.9,43.81,-1,0.28448837420738504,0.9854220013821464,0.0,0.5912532008292878,5.0,1.3333333333333333,0.6666666666666666,O8,de-protonated,0,,C12 H16 O8,12,16,8,,,,,
444,287.114393,287.11373439749167,287.1136264495429,8181718.5,nan,353501.5,58.96,-1,0.3759764038788324,0.48733843909314545,0.8759295984134849,0.6427749028212812,4.0,1.5384615384615385,0.5384615384615384,O7,de-protonated,0,,C13 H20 O7,13,20,7,,,,,
447,287.150786,287.15012718479824,287.15001195892717,4483047.0,nan,368331.4,31.21,-1,0.4012741294500121,0.9712056553240546,0.0,0.5827233931944327,3.0,1.7142857142857142,0.42857142857142855,O6,de-protonated,0,,C14 H24 O6,14,24,6,,,,,
449,288.109652,288.10898758085057,288.1088754217359,1482391.3,nan,327354.1,8.69,-1,0.3892942017640194,0.9728760990892762,0.0,0.5837256594535657,4.0,1.5833333333333333,0.5833333333333334,N1 O7,de-protonated,0,,C12 H19 O7 N1,12,19,7,,1,,,
455,289.057186,289.05651604313107,289.0565054952523,1320514.5,nan,415951.5,7.47,-1,0.03649071578313196,0.999758417134316,0.0,0.5998550502805896,5.0,1.2727272727272727,0.8181818181818182,O9,de-protonated,0,,C11 H14 O9,11,14,9,,,,,
460,289.093705,289.0930348297013,289.0928910046366,3018579.0,nan,403441.5,20.21,-1,0.49750467469885007,0.9560830207646602,0.0,0.5736498124587961,4.0,1.5,0.6666666666666666,O8,de-protonated,0,,C12 H18 O8,12,18,8,,,,,
462,289.108931,289.1082607407152,289.10814714592146,5388121.5,nan,363175.1,37.99,-1,0.3929145368361892,0.9723763278959632,0.0,0.5834257967375779,8.0,1.125,0.3125,O5,de-protonated,0,,C16 H18 O5,16,18,5,,,,,
464,289.130064,289.1293936172066,289.1292765140209,3218787.3,nan,391683.7,21.72,-1,0.4050201594903166,0.9706735337481239,0.0,0.5824041202488743,3.0,1.6923076923076923,0.5384615384615384,O7,de-protonated,0,,C13 H22 O7,13,22,7,,,,,
465,289.145198,289.1445275287582,289.1445326553058,2028394.1,nan,413627.5,12.78,-1,-0.01773005197329155,0.9999429623715587,0.0,0.5999657774229352,7.0,1.2941176470588236,0.23529411764705882,O4,de-protonated,0,,C17 H22 O4,17,22,4,,,,,
