Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,34S,P,18O,17O
459,267.144271,267.14378552324087,267.1436997887318,2121510.8,nan,464487.3,14.0,-1,0.32093030507023695,0.9776565746283209,0.9867108192608834,0.981278272481346,0.0,2.1666666666666665,0.3333333333333333,34S1 O4,de-protonated,1,441,C12 H26 O4 34S1,12,26,4,,,,1,,,
460,267.160765,267.1602794348669,267.1601827197838,1928494.4,nan,452222.8,12.5,-1,0.362011592087733,0.9765012149159588,0.0,0.5859007289495752,4.0,1.6,0.26666666666666666,O4,de-protonated,0,,C15 H24 O4,15,24,4,,,,,,,
463,268.046868,268.0463776871704,268.04627516382385,1579982.5,nan,475342.3,9.79,-1,0.38248375756906283,0.9738043946790813,0.0,0.5842826368074487,7.0,1.0,0.6363636363636364,N1 O7,de-protonated,0,,C11 H11 O7 N1,11,11,7,,1,,,,,
464,268.083234,268.0827434923231,268.0826606732082,2946271.5,nan,425263.6,20.4,-1,0.3089312629496737,0.9828318858013645,0.0,0.5896991314808187,6.0,1.25,0.5,N1 O6,de-protonated,0,,C12 H15 O6 N1,12,15,6,,1,,,,,
466,268.091271,268.0907804492613,268.0907665360875,2089955.4,nan,328982.5,13.75,-1,0.05189725100256517,0.9995114191728413,0.9763155672385604,0.9902330783991289,6.0,1.3333333333333333,0.5,13C1 O6,de-protonated,1,456,C12 H16 O6 13C1,12,16,6,,,1,,,,
470,268.983595,268.983099668233,268.9831611054184,3389062.5,nan,425782.3,23.83,-1,-0.22840532140856834,0.9905786666408555,0.0,0.5943471999845132,12.0,0.5,0.14285714285714285,S1 P1 O2,de-protonated,0,,C14 H7 O2 S1 P1,14,7,2,1,,,,1,,
471,269.030917,269.03042141468404,269.0302907467246,5064861.0,nan,384621.2,36.84,-1,0.4856998039329205,0.9580986558618082,0.0,0.5748591935170849,7.0,0.9090909090909091,0.7272727272727273,O8,de-protonated,0,,C11 H10 O8,11,10,8,,,,,,,
473,269.067226,269.06673022014223,269.0666762561089,11779246.0,nan,406152.2,88.96,-1,0.2005600770713133,0.4963639580131597,0.8843699161556753,0.651566341270166,6.0,1.1666666666666667,0.5833333333333334,O7,de-protonated,0,,C12 H14 O7,12,14,7,,,,,,,
475,269.103667,269.10317102489313,269.1030617654932,14378175.0,nan,395678.4,109.13,-1,0.4060132175083978,0.4852658452556879,0.8759295984134849,0.6415313465188067,5.0,1.3846153846153846,0.46153846153846156,O6,de-protonated,0,,C13 H18 O6,13,18,6,,,,,,,
477,269.140063,269.13956682988515,269.13944727487745,6415568.0,nan,388719.4,47.33,-1,0.4442121320770077,0.9648291340561915,0.0,0.5788974804337149,4.0,1.5714285714285714,0.35714285714285715,O5,de-protonated,0,,C14 H22 O5,14,22,5,,,,,,,
478,270.062494,270.06199288754505,270.06192522830185,2456705.8,nan,381702.5,16.59,-1,0.25053232936435554,0.9886757183548475,0.0,0.5932054310129085,6.0,1.1818181818181819,0.6363636363636364,N1 O7,de-protonated,0,,C11 H13 O7 N1,11,13,7,,1,,,,,
480,270.098937,270.0984356922852,270.0983107376862,1759634.9,nan,418059.7,11.18,-1,0.46262636250859324,0.9619101617404583,0.0,0.577146097044275,5.0,1.4166666666666667,0.5,N1 O6,de-protonated,0,,C12 H17 O6 N1,12,17,6,,1,,,,,
481,270.135215,270.1347134979095,270.1346962470705,1414307.9,nan,401544.0,8.5,-1,0.06386013804740608,0.9992603046952867,0.0,0.599556182817172,4.0,1.6153846153846154,0.38461538461538464,N1 O5,de-protonated,0,,C13 H21 O5 N1,13,21,5,,1,,,,,
483,270.208081,270.20757910749705,270.20746726583906,6842054.0,nan,403056.3,50.63,-1,0.4139103153911495,0.9828587367050889,0.9576495987432536,0.9727750815203549,2.0,1.9333333333333333,0.2,N1 O3,de-protonated,0,,C15 H29 O3 N1,15,29,3,,1,,,,,
