Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,34S,P,18O,15N
531,296.078221,296.0777160823274,296.07757529277984,1288857.5,nan,395708.0,7.28,-1,0.4755157408764187,0.959801957961736,0.0,0.5758811747770416,7.0,1.1538461538461537,0.5384615384615384,N1 O7,de-protonated,0,,C13 H15 O7 N1,13,15,7,,1,,,,,
532,296.141335,296.14082986336996,296.14069410969836,1339055.9,nan,297619.1,7.66,-1,0.45840937871823617,0.9625883024223341,0.997397828696607,0.9765121129320432,5.0,1.6,0.2,13C1 S1 O3,de-protonated,1,527,C15 H24 O3 S1 13C1,15,24,3,1,,1,,,,
535,297.080793,297.080284604167,297.0802183203355,1769213.1,nan,351709.8,10.91,-1,0.22311762071271357,0.9910078902079837,0.0,0.5946047341247902,6.0,1.2857142857142858,0.35714285714285715,S1 O5,de-protonated,0,,C14 H18 O5 S1,14,18,5,1,,,,,,
536,297.098613,297.09810454234514,297.0979763850649,5691395.5,nan,352214.6,40.59,-1,0.43136369289154897,0.966800610995817,0.0,0.5800803665974902,6.0,1.2857142857142858,0.5,O7,de-protonated,0,,C14 H18 O7,14,18,7,,,,,,,
537,297.134999,297.13449041611347,297.13436189444917,4617232.5,nan,348794.4,32.46,-1,0.4325371979016245,0.9666227831897447,0.0,0.5799736699138468,5.0,1.4666666666666666,0.4,O6,de-protonated,0,,C15 H22 O6,15,22,6,,,,,,,
538,297.14191,297.1414013921376,297.1413758272567,5045267.0,nan,345656.6,35.7,-1,0.08603608578255266,0.9986577806555152,0.0,0.5991946683933091,9.0,1.2105263157894737,0.05263157894736842,P1 O1,de-protonated,0,,C19 H23 O1 P1,19,23,1,,,,,1,,
539,297.147655,297.1471463722068,297.14724905407115,5533717.0,nan,341517.6,39.39,-1,-0.3455588590337486,0.978566086856583,0.0,0.5871396521139498,0.0,2.25,0.5,P1 O6,de-protonated,0,,C12 H27 O6 P1,12,27,6,,,,,1,,
540,297.153576,297.1530673516654,297.15298933910407,367393824.0,nan,350567.1,2777.06,-1,0.26253332170574184,0.9775856589852938,0.993290160230891,0.9838674594835327,4.0,1.625,0.1875,S1 O3,de-protonated,0,,C16 H26 O3 S1,16,26,3,1,,,,,,
544,298.157001,298.15648887054573,298.15634417417635,60669304.0,nan,346024.0,456.52,-1,0.48530367440603034,0.9726846211824095,0.993290160230891,0.9809268368018021,4.0,1.7333333333333334,0.2,13C1 S1 O3,de-protonated,1,540,C15 H26 O3 S1 13C1,15,26,3,1,,1,,,,
548,299.077896,299.07738067574223,299.07724094015856,2945212.0,nan,358552.3,19.81,-1,0.4672223912247882,0.9611645460925954,0.0,0.5766987276555572,6.0,1.2307692307692308,0.6153846153846154,O8,de-protonated,0,,C13 H16 O8,13,16,8,,,,,,,
549,299.096489,299.0959736112387,299.0958683848135,3007170.5,nan,351939.0,20.27,-1,0.35181504102186567,0.9777917192798735,0.0,0.5866750315679241,5.0,1.4285714285714286,0.35714285714285715,S1 O5,de-protonated,0,,C14 H20 O5 S1,14,20,5,1,,,,,,
551,299.114284,299.1137685495036,299.1136264495429,4728521.0,nan,364277.1,33.3,-1,0.47507016785876216,0.9598757250097213,0.0,0.5759254350058327,5.0,1.4285714285714286,0.5,O7,de-protonated,0,,C14 H20 O7,14,20,7,,,,,,,
552,299.149428,299.14891242758074,299.1487851691601,16482005.0,nan,339696.2,122.22,-1,0.42540176317208056,0.9742732152940493,0.993290160230891,0.9818799932687859,4.0,1.625,0.1875,34S1 O3,de-protonated,1,540,C16 H26 O3 34S1,16,26,3,,,,1,,,
