Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,P,18O
318,235.025247,235.02489746260235,235.02481144310323,1753923.4,nan,430754.0,11.73,-1,0.3660017791046182,0.9759866445498048,0.0,0.5855919867298829,8.0,0.7272727272727273,0.5454545454545454,O6,de-protonated,0,,C11 H8 O6,11,8,6,,,,,
319,235.043798,235.04344839963827,235.0434388877581,1439051.1,nan,534998.0,9.19,-1,0.04046860533653891,0.9997028841792434,0.0,0.599821730507546,7.0,1.0,0.25,S1 O3,de-protonated,0,,C12 H12 O3 S1,12,12,3,1,,,,
320,235.061628,235.06127833912134,235.0611969524875,2773586.5,nan,494488.9,19.97,-1,0.34623593724854834,0.9784829216510598,0.0,0.5870897529906358,7.0,1.0,0.4166666666666667,O5,de-protonated,0,,C12 H12 O5,12,12,5,,,,,
322,235.097956,235.0976062158202,235.0975824618718,1690465.5,nan,531378.6,11.22,-1,0.10103867572287922,0.9981493387017464,0.0,0.5988896032210478,6.0,1.2307692307692308,0.3076923076923077,O4,de-protonated,0,,C13 H16 O4,13,16,4,,,,,
324,237.040845,237.04048862144646,237.04046150758123,4361612.0,nan,507004.6,32.79,-1,0.1143849664189061,0.9976287556578592,0.0,0.5985772533947156,7.0,0.9090909090909091,0.5454545454545454,O6,de-protonated,0,,C11 H10 O6,11,10,6,,,,,
326,237.077246,237.07688949789755,237.0768470169655,6430107.0,nan,454146.5,49.5,-1,0.17918633804429696,0.9941910297707542,0.0,0.5965146178624525,6.0,1.1666666666666667,0.4166666666666667,O5,de-protonated,0,,C12 H14 O5,12,14,5,,,,,
328,237.11365,237.1132933743385,237.11323252634983,2855850.3,nan,434158.1,20.63,-1,0.25661996175991386,0.9881220204653359,0.0,0.5928732122792015,5.0,1.3846153846153846,0.3076923076923077,O4,de-protonated,0,,C13 H18 O4,13,18,4,,,,,
329,238.036122,238.03576224336953,238.03571047977422,1441326.4,nan,505077.7,9.2,-1,0.2174614691402912,0.9914560924777313,0.0,0.5948736554866387,7.0,0.9,0.6,N1 O6,de-protonated,0,,C10 H9 O6 N1,10,9,6,,1,,,
330,238.072517,238.072157119841,238.0720959891585,2592573.8,nan,501493.0,18.5,-1,0.25677382409088545,0.9881078578255679,0.0,0.5928647146953407,6.0,1.1818181818181819,0.45454545454545453,N1 O5,de-protonated,0,,C11 H13 O5 N1,11,13,5,,1,,,
331,239.020084,239.01972090369694,239.01972606267492,3078862.5,nan,490361.9,22.42,-1,-0.02158390049787144,0.9999154730237779,0.0,0.5999492838142667,7.0,0.8,0.7,O7,de-protonated,0,,C10 H8 O7,10,8,7,,,,,
332,239.056493,239.05612978012087,239.05611157205922,6555870.0,nan,461538.4,50.51,-1,0.076166476260053,0.9989479097459745,0.0,0.5993687458475847,6.0,1.0909090909090908,0.5454545454545454,O6,de-protonated,0,,C11 H12 O6,11,12,6,,,,,
333,239.067813,239.0674497416996,239.0673449613515,1414370.6,nan,613505.2,8.98,-1,0.43828799835770177,0.9657448270164359,0.0,0.5794468962098616,6.0,1.2,0.5,N2 O5,de-protonated,0,,C10 H12 O5 N2,10,12,5,,2,,,
334,239.092882,239.09251865661273,239.0924970814435,10211565.0,nan,450425.4,80.05,-1,0.09023775104378379,0.9988420416292403,0.9719184489707723,0.988072604565853,5.0,1.3333333333333333,0.4166666666666667,O5,de-protonated,0,,C12 H16 O5,12,16,5,,,,,
335,239.129279,239.1289155330774,239.12888259082783,15659261.0,nan,447215.1,124.06,-1,0.13775939235847803,0.9951471828675289,0.983455259888201,0.9904704136757978,4.0,1.5384615384615385,0.3076923076923077,O4,de-protonated,0,,C13 H20 O4,13,20,4,,,,,
336,239.165676,239.16531240954205,239.1652681002121,2357260.3,nan,456850.7,16.59,-1,0.1852665744607788,0.9937913628065476,0.0,0.5962748176839285,3.0,1.7142857142857142,0.21428571428571427,O3,de-protonated,0,,C14 H24 O3,14,24,3,,,,,
