"Sample_ID","NPOC_mg_C_per_L","TN_mg_N_per_L","Flags","Outlier"
"RC2_0093_OCN-1",1.029,0.09628,NA,NA
"RC2_0095_OCN-3",1.798,1.721,NA,NA
"RC2_0092_OCN-1",0.8906,0.09299,NA,NA
"RC2_0094_OCN-1",1.243,0.2632,NA,NA
"RC2_0093_OCN-3",1.084,0.09517,NA,NA
"RC2_0091_OCN-1",0.4019,0.08457,NA,NA
"RC2_0095_OCN-1",1.814,1.649,NA,NA
"RC2_0092_OCN-3",0.7971,0.09861,NA,NA
"RC2_0096_OCN-2",1.823,1.281,NA,NA
"RC2_0096_OCN-3",1.808,1.279,NA,NA
"RC2_0091_OCN-2",0.3984,0.06749,NA,NA
"RC2_0094_OCN-3",1.237,0.2348,NA,NA
"RC2_0094_OCN-2",1.262,0.2344,NA,NA
"RC2_0095_OCN-2",1.818,1.677,NA,NA
"RC2_0096_OCN-1",1.813,1.32,NA,NA
"RC2_0093_OCN-2",1.075,0.134,NA,NA
"RC2_0092_OCN-2",0.8175,0.08596,NA,NA
"RC2_0099_OCN-2",1.534,0.2761,NA,NA
"RC2_0097_OCN-2",1.782,1.249,NA,NA
"RC2_0098_OCN-2",1.746,1.399,NA,NA
"RC2_0100_OCN-1",0.9877,0.1121,NA,NA
"RC2_0100_OCN-3",0.9817,0.11,NA,NA
"RC2_0097_OCN-1",1.812,1.22,NA,NA
"RC2_0098_OCN-3",1.742,1.371,NA,NA
"RC2_0097_OCN-3",1.776,1.268,NA,NA
"RC2_0098_OCN-1",1.786,1.391,NA,NA
"RC2_0099_OCN-3",1.357,0.2784,NA,NA
"RC2_0100_OCN-2",1.042,0.1291,NA,NA
"RC2_0099_OCN-1",1.36,0.2687,NA,NA
"RC2_0103_OCN-1",0.9832,0.0958,NA,NA
"RC2_0106_OCN-1",1.884,1.357,NA,NA
"RC2_0103_OCN-2",1.038,0.1396,NA,NA
"RC2_0106_OCN-3",1.943,1.395,NA,NA
"RC2_0104_OCN-1",1.412,0.303,NA,NA
"RC2_0101_OCN-2",0.4315,0.09344,NA,NA
"RC2_0106_OCN-2",1.981,1.302,NA,NA
"RC2_0105_OCN-3",1.819,1.36,NA,NA
"RC2_0103_OCN-3",0.9821,0.1065,NA,NA
"RC2_0104_OCN-3",1.35,0.2831,NA,NA
"RC2_0105_OCN-2",1.689,1.326,NA,NA
"RC2_0104_OCN-2",1.375,0.3089,NA,NA
"RC2_0101_OCN-1",0.4354,0.0669,NA,NA
"RC2_0101_OCN-3",0.4363,0.08125,NA,NA
"RC2_0105_OCN-1",1.701,1.321,NA,NA
"RC2_0110_OCN-2",1.535,0.3857,NA,NA
"RC2_0109_OCN-2",0.9286,0.09342,NA,NA
"RC2_0112_OCN-1",1.656,1.33,NA,NA
"RC2_0110_OCN-1",1.62,0.4043,NA,NA
"RC2_0108_OCN-2",0.8549,0.08707,NA,NA
"RC2_0108_OCN-1",0.8159,0.07569,NA,NA
"RC2_0109_OCN-3",0.9208,0.09433,NA,NA
"RC2_0112_OCN-3",1.666,1.342,NA,NA
"RC2_0110_OCN-3",1.339,0.3635,NA,NA
"RC2_0107_OCN-2",0.4895,0.07069,NA,NA
"RC2_0107_OCN-3",0.4377,0.06613,NA,NA
"RC2_0112_OCN-2",1.643,1.3,NA,NA
"RC2_0109_OCN-1",1.125,0.09874,NA,NA
"RC2_0111_OCN-3",1.602,1.392,NA,NA
"RC2_0107_OCN-1",0.4331,0.07367,NA,NA
"RC2_0111_OCN-2",1.674,1.352,NA,NA
"RC2_0108_OCN-3",0.841,0.08521,NA,NA
"RC2_0111_OCN-1",1.621,1.342,NA,NA
"RC2_0118_OCN-3",1.919,1.166,NA,NA
"RC2_0115_OCN-1",1.384,0.1021,NA,NA
